from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Lesley Paterson,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front,female,White,1980
Kazuo Ishiguro,BAFTA,2023,BAFTA,1,writing,Living,male,Asian,1954
Rebecca Lenkiewicz,BAFTA,2023,BAFTA,1,writing,She Said,female,White,1968
Colm Bairéad,BAFTA,2023,BAFTA,1,writing,The Quiet Girl,male,White,1981
Samuel D Hunter,BAFTA,2023,BAFTA,1,writing,The Whale,male,White,1981
Siân Heder,BAFTA,2022,BAFTA,2,writing,CODA,female,White,1977
Maggie Gyllenhaal,BAFTA,2022,BAFTA,1,writing,The Lost Daughter,female,White,1977
Jane Campion,BAFTA,2022,BAFTA,1,writing,The Power of the Dog,female,White,1954
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,writing,Drive My Car,male,Asian,1978
Takamasa Oe,BAFTA,2022,BAFTA,1,writing,Drive My Car,male,Asian,1981
Eric Roth,BAFTA,2022,BAFTA,1,writing,Dune,male,White,1945
Jon Spaihts,BAFTA,2022,BAFTA,1,writing,Dune,male,White,1970
Denis Villeneuve,BAFTA,2022,BAFTA,1,writing,Dune,male,White,1967
Jesse Eisenberg,BAFTA,2025,BAFTA,2,writing,A Real Pain,male ,White,1983
Sean Baker,BAFTA,2025,BAFTA,1,writing,Anora,male ,White,1971
Rich Peppiatt,BAFTA,2025,BAFTA,1,writing,Kneecap,male ,White,1981
Naoise Ó Cairealláin,BAFTA,2025,BAFTA,1,writing,Kneecap,male ,White,1994
Liam Óg Ó HAnnaidh,BAFTA,2025,BAFTA,1,writing,Kneecap,male ,White,1997
J.J. Ó Dochartaigh,BAFTA,2025,BAFTA,1,writing,Kneecap,male ,White,1988
Brady Corbet,BAFTA,2025,BAFTA,1,writing,The Brutalist,male ,White,1988
Mona Fastvold,BAFTA,2025,BAFTA,1,writing,The Brutalist,female,White,1981
Coralie Fargeat,BAFTA,2025,BAFTA,1,writing,The Substance,female,White,1976
Justine Triet,BAFTA,2024,BAFTA,2,writing,Anatomy of a Fall,female,White,1978
Arthur Harari,BAFTA,2024,BAFTA,2,writing,Anatomy of a Fall,male ,White,1981
Greta Gerwig,BAFTA,2024,BAFTA,1,writing,Barbie,female,White,1983
Noah Baumbach,BAFTA,2024,BAFTA,1,writing,Barbie,male ,White,1969
David Hemingson,BAFTA,2024,BAFTA,1,writing,The Holdovers,male ,White,1964
Bradley Cooper,BAFTA,2024,BAFTA,1,writing,Maestro,male ,White,1975
Josh Singer,BAFTA,2024,BAFTA,1,writing,Maestro,male ,White,1972
Celine Song,BAFTA,2024,BAFTA,1,writing,Past Lives,female,Asian,1988
Martin McDonagh,BAFTA,2023,BAFTA,2,writing,The Banshees of Inisherin,male,White,1970
Daniel Kwan,BAFTA,2023,BAFTA,1,writing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,BAFTA,2023,BAFTA,1,writing,Everything Everywhere All at Once,male,White,1987
Todd Field,BAFTA,2023,BAFTA,1,writing,TÁR ,male,White,1964
Tony Kushner,BAFTA,2023,BAFTA,1,writing,The Fabelmans,male,White,1956
Steven Spielberg,BAFTA,2023,BAFTA,1,writing,The Fabelmans,male,White,1946
Ruben Östlund,BAFTA,2023,BAFTA,1,writing,Triangle of Sadness,male,White,1974
Paul Thomas Anderson,BAFTA,2022,BAFTA,2,writing,Licorice Pizza,male,White,1970
Zach Baylin,BAFTA,2022,BAFTA,1,writing,King Richard,male,White,1980
Aaron Sorkin,BAFTA,2022,BAFTA,1,writing,Being the Ricardos,male,White,1961
Kenneth Branagh,BAFTA,2022,BAFTA,1,writing,Belfast,male,White,1960
Adam McKay,BAFTA,2022,BAFTA,1,writing,Don't Look Up,male,White,1968
