from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Cate Blanchett,Golden Globe,2023,Golden Globe,2,acting,TÁR,female,White,1969
Ana de Armas,Golden Globe,2023,Golden Globe,1,acting,Blonde,female,Latin,1988
Michelle Williams,Golden Globe,2023,Golden Globe,1,acting,The Fabelmans,female,White,1980
Olivia Colman,Golden Globe,2023,Golden Globe,1,acting,Empire of Light,female,White,1974
Viola Davis,Golden Globe,2023,Golden Globe,1,acting,The Woman King,female,Black,1965
Michelle Yeoh,Golden Globe,2023,Golden Globe,2,acting,Everything Everywhere All at Once,female,Asian,1962
Anya Taylor-Joy,Golden Globe,2023,Golden Globe,1,acting,The Menu,female,White,1996
Emma Thompson,Golden Globe,2023,Golden Globe,1,acting,"Good Luck to You, Leo Grande",female,White,1959
Lesley Manville,Golden Globe,2023,Golden Globe,1,acting,Mrs. Harris Goes to Paris,female,White,1956
Margot Robbie,Golden Globe,2023,Golden Globe,1,acting,Babylon,female,White,1990
Jennifer Coolidge,Golden Globe,2023,Golden Globe,2,acting,The White Lotus,female,White,1961
Niecy Nash-Betts,Golden Globe,2023,Golden Globe,1,acting,Monster: The Jeffrey Dahmer Story,female,Black,1970
Daisy Edgar-Jones,Golden Globe,2023,Golden Globe,1,acting,Under the Banner of Heaven,female,White,1998
Julia Garner,Golden Globe,2023,Golden Globe,2,acting,Ozark,female,White,1994
Sheryl Lee Ralph,Golden Globe,2023,Golden Globe,1,acting,Abbott Elementary,female,Black,1956
Janelle James,Golden Globe,2023,Golden Globe,1,acting,Abbott Elementary,female,Black,1984
Hannah Einbinder,Golden Globe,2023,Golden Globe,1,acting,Hacks,female,White,1995
Elizabeth Debicki,Golden Globe,2023,Golden Globe,1,acting,The Crown,female,White,1990
Angela Bassett,Golden Globe,2023,Golden Globe,2,acting,Black Panther: Wakanda Forever,female,Black,1958
Carey Mulligan,Golden Globe,2023,Golden Globe,1,acting,She Said,female,White,1985
Dolly de Leon,Golden Globe,2023,Golden Globe,1,acting,Triangle of Sadness,female,Asian,1969
Jamie Lee Curtis,Golden Globe,2023,Golden Globe,1,acting,Everything Everywhere All at Once,female,White,1958
Kerry Condon,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin,female,White,1983
Quinta Brunson,Golden Globe,2023,Golden Globe,2,acting,Abbott Elementary,female,Black,1989
Selena Gomez,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building,female,Latin,1992
Kaley Cuoco,Golden Globe,2023,Golden Globe,1,acting,The Flight Attendant,female,White,1985
Jenna Ortega,Golden Globe,2023,Golden Globe,1,acting,Wednesday,female,Latin,2002
Jean Smart,Golden Globe,2023,Golden Globe,1,acting,Hacks,female,White,1951
Amanda Seyfried,Golden Globe,2023,Golden Globe,2,acting,The Dropout,female,White,1985
Jessica Chastain,Golden Globe,2023,Golden Globe,1,acting,George & Tammy,female,White,1977
Julia Roberts,Golden Globe,2023,Golden Globe,1,acting,Gaslit,female,White,1967
Lily James,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy,female,White,1989
Zendaya,Golden Globe,2023,Golden Globe,2,acting,Euphoria,female,Black,1996
Laura Linney,Golden Globe,2023,Golden Globe,1,acting,Ozark,female,White,1964
Imelda Staunton,Golden Globe,2023,Golden Globe,1,acting,The Crown,female,White,1956
Hilary Swank,Golden Globe,2023,Golden Globe,1,acting,Alaska Daily,female,White,1974
Emma D’Arcy,Golden Globe,2023,Golden Globe,1,acting,House of the Dragon,female,White,1992
Nicole Kidman,Golden Globe,2022,Golden Globe,2,acting,Being the Ricardos,female,White,1967
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting,The Eyes of Tammy Faye,female,White,1977
Kristen Stewart,Golden Globe,2022,Golden Globe,1,acting,Spencer,female,White,1990
Lady Gaga,Golden Globe,2022,Golden Globe,1,acting,House of Gucci,female,White,1986
Olivia Colman,Golden Globe,2022,Golden Globe,1,acting,The Lost Daughter,female,White,1974
Ariana DeBose,Golden Globe,2022,Golden Globe,2,acting,West Side Story (2021),female,Mixed,1991
Aunjanue Ellis,Golden Globe,2022,Golden Globe,1,acting,King Richard,female,Black,1969
Caitriona Balfe,Golden Globe,2022,Golden Globe,1,acting,Belfast,female,White,1979
Kirsten Dunst,Golden Globe,2022,Golden Globe,1,acting,The Power of the Dog,female,White,1982
Ruth Negga,Golden Globe,2022,Golden Globe,1,acting,Passing,female,Black,1981
Jean Smart,Golden Globe,2022,Golden Globe,2,acting,Hacks,female,White,1951
Tracee Ellis Ross,Golden Globe,2022,Golden Globe,1,acting,Black-ish,female,Black,1972
Elle Fanning,Golden Globe,2022,Golden Globe,1,acting,The Great,female,White,1998
Hannah Einbinder,Golden Globe,2022,Golden Globe,1,acting,Hacks,female,White,1998
Issa Rae,Golden Globe,2022,Golden Globe,1,acting,Insecure,female,Black,1985
Kate Winslet,Golden Globe,2022,Golden Globe,2,acting,Mare of Easttown,female,White,1975
Cynthia Erivo,Golden Globe,2022,Golden Globe,1,acting,Genius: Aretha,female,Black,1987
Elizabeth Olsen,Golden Globe,2022,Golden Globe,1,acting,WandaVision,female,White,1989
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting,Scenes from a Marriage-TV,female,White,1977
Margaret Qualley,Golden Globe,2022,Golden Globe,1,acting,Maid,female,White,1994
Michaela Jaé Rodriguez,Golden Globe,2022,Golden Globe,2,acting,Pose,female,Mixed,1990
Uzo Aduba,Golden Globe,2022,Golden Globe,1,acting,In Treatment,female,Black,1981
Jennifer Aniston,Golden Globe,2022,Golden Globe,1,acting,The Morning Show,female,White,1969
Elisabeth Moss,Golden Globe,2022,Golden Globe,1,acting,The Handmaid's Tale,female,White,1982
Christine Baranski,Golden Globe,2022,Golden Globe,1,acting,The Good Fight,female,White,1952
Sarah Snook,Golden Globe,2022,Golden Globe,2,acting,Succession,female,White,1987
Kaitlyn Dever,Golden Globe,2022,Golden Globe,1,acting,Dopesick,female,White,1996
Jennifer Coolidge,Golden Globe,2022,Golden Globe,1,acting,The White Lotus,female,White,1961
Hannah Waddingham,Golden Globe,2022,Golden Globe,1,acting,Ted Lasso,female,White,1974
Andie MacDowell,Golden Globe,2022,Golden Globe,1,acting,Maid,female,White,1958
Rachel Zegler,Golden Globe,2022,Golden Globe,2,acting,West Side Story (2021),female,Latin,2001
Marion Cotillard,Golden Globe,2022,Golden Globe,1,acting,Annette,female,White,1975
Jennifer Lawrence,Golden Globe,2022,Golden Globe,1,acting,Don't Look Up,female,White,1990
Emma Stone,Golden Globe,2022,Golden Globe,1,acting,Cruella,female,White,1988
Alana Haim,Golden Globe,2022,Golden Globe,1,acting,Licorice Pizza,female,White,1991
Mikey Madison,BAFTA,2025,BAFTA,2,acting,Anora,female,White,1999
Karla Sofía Gascón,BAFTA,2025,BAFTA,1,acting,Emilia Pérez,female,Mixed,1972
Marianne Jean-Baptiste,BAFTA,2025,BAFTA,1,acting,Hard Truths,female,Mixed,1967
Saoirse Ronan,BAFTA,2025,BAFTA,1,acting,The Outron,female,White,1994
Demi Moore,BAFTA,2025,BAFTA,1,acting,The Substance,female,White,1962
Cynthia Erivo,BAFTA,2025,BAFTA,1,acting,Wicked,female,Black,1987
Emma Stone,BAFTA,2024,BAFTA,2,acting,Poor Things,female,White,1988
Vivian Oparah,BAFTA,2024,BAFTA,1,acting,Rye Lane,female,Black,1996
Sandra Hüller,BAFTA,2024,BAFTA,1,acting,Anatomy of a Fall,female,White,1978
Margot Robbie,BAFTA,2024,BAFTA,1,acting,Barbie,female,White,1990
Fantasia Barrino,BAFTA,2024,BAFTA,1,acting,The Color Purple,female,Black,1984
Carey Mulligan,BAFTA,2024,BAFTA,1,acting,Maestro,female,White,1985
Cate Blacnhett,BAFTA,2023,BAFTA,2,acting,TÁR ,female,White,1969
Ana de Armas,BAFTA,2023,BAFTA,1,acting,Blonde,female,Latin,1988
Michelle Yeoh,BAFTA,2023,BAFTA,1,acting,Everything Everywhere All at Once,female,Asian,1962
Emma Thompson,BAFTA,2023,BAFTA,1,acting,"Good Luck to You, Leo Grande",female,White,1959
Viola Davis,BAFTA,2023,BAFTA,1,acting,The Woman King,female,Black,1965
Danielle Deadwyler,BAFTA,2023,BAFTA,1,acting,Till,female,Black,1982
Joanna Scanlan,BAFTA,2022,BAFTA,2,acting,After Love,female,White,1961
Alana Haim,BAFTA,2022,BAFTA,1,acting,Licorice Pizza,female,White,1991
Emilia Jones,BAFTA,2022,BAFTA,1,acting,CODA,female,White,2002
Lady Gaga,BAFTA,2022,BAFTA,1,acting,House of Gucci,female,White,1986
Renate Reinsve,BAFTA,2022,BAFTA,1,acting,The Worst Person in the World,female,White,1987
Tessa Thompson,BAFTA,2022,BAFTA,1,acting,Passing,female,Mixed,1983
Adrien Brody,Oscar,2025,Oscar,2,acting,The Brutalist,male,White,1973
Timothée Chalamet,Oscar,2025,Oscar,1,acting,A Complete Unknown,male,White,1995
Colman Domingo,Oscar,2025,Oscar,1,acting,Sing Sing,male,Black,1969
Ralph Fiennes,Oscar,2025,Oscar,1,acting,Conclave,male,White,1962
Sebastian Stan,Oscar,2025,Oscar,1,acting,The Apprentice,male,White,1982
Kieran Culkin,Oscar,2025,Oscar,2,acting,A Real Pain,male,White,1982
Yura Borisov,Oscar,2025,Oscar,1,acting,Anora,male,White,1992
Edward Norton,Oscar,2025,Oscar,1,acting,A Complete Unknown,male,White,1969
